Farm_ID,Crop_Type,Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters),z_score,fertilizer_to_yield_ratio,pesticide_to_yield_ratio,water_to_yield_ratio,fertilizer_to_acre_ratio,pesticide_to_acre_ratio,water_to_acre_ratio
F001,Cotton,329.4,Sprinkler,8.14,2.21,14.44,Loamy,Kharif,76648.2,0.9551564553596843,1.7739557739557739,6.53393665158371,0.00018839320427616044,0.024711596842744387,0.006709168184578021,232.6903460837887
F002,Carrot,18.67,Manual,4.77,4.36,42.91,Peaty,Kharif,68725.54,1.1997586172352668,8.9958071278826,9.841743119266054,0.000624367593182971,0.2554900910551687,0.23352972683449383,3681.0680235672194
F003,Sugarcane,306.03,Flood,2.91,0.56,33.44,Silty,Kharif,75538.56,0.4829674076295701,11.491408934707902,59.7142857142857,0.00044268781401181063,0.009508871679247135,0.0018298859588929193,246.83383981962555
F004,Tomato,380.21,Rain-fed,3.32,4.35,34.08,Silty,Zaid,45401.23,0.5314094745934187,10.265060240963855,7.83448275862069,0.0007506404562167147,0.00873201651718787,0.011441045737881697,119.41093080139925
F005,Tomato,135.56,Sprinkler,8.33,4.48,43.28,Clay,Zaid,93718.69,1.2277641871987421,5.195678271308523,9.660714285714285,0.0004618075647450898,0.06144880495721452,0.03304809678371201,691.3447182059605
F006,Sugarcane,12.5,Sprinkler,6.42,2.25,38.18,Loamy,Zaid,46487.98,0.8417414660805738,5.947040498442368,16.968888888888888,0.0008212875672378106,0.5136,0.18,3719.0384000000004
F007,Soybean,360.06,Drip,1.83,2.37,44.93,Sandy,Rabi,40583.57,1.3526538910899142,24.551912568306008,18.957805907172993,0.0011070982666138045,0.005082486252291285,0.0065822362939510085,112.71335333000056
F008,Rice,464.6,Drip,5.18,0.91,4.23,Silty,Kharif,9392.38,1.7279588048923311,0.8166023166023167,4.648351648351649,0.0004503650831844539,0.011149375807145931,0.0019586741282823935,20.216056823073608
F009,Maize,389.37,Drip,0.57,4.93,3.86,Peaty,Rabi,60202.14,1.755964374855806,6.771929824561404,0.7829614604462475,6.411732207526177e-05,0.001463903228291856,0.012661478799085702,154.61422297557593
F010,Soybean,184.37,Drip,2.18,2.67,17.25,Sandy,Kharif,90922.15,0.7424655050965366,7.912844036697247,6.460674157303371,0.00018972274632749007,0.011824049465748224,0.014481748657590714,493.15045831751365
