Farm_ID,Crop_Type,Farm_Area(acres),Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Season,Water_Usage(cubic meters),z_score,fertilizer_to_yield_ratio,pesticide_to_yield_ratio,water_to_yield_ratio,Irrigation_Type_Drip,Irrigation_Type_Flood,Irrigation_Type_Manual,Irrigation_Type_Rain-fed,Irrigation_Type_Sprinkler,Soil_Type_Clay,Soil_Type_Loamy,Soil_Type_Peaty,Soil_Type_Sandy,Soil_Type_Silty
F001,Cotton,329.4,8.14,2.21,14.44,Kharif,76648.2,0.9551564553596843,1.7739557739557739,6.53393665158371,0.00018839320427616044,False,False,False,False,True,False,True,False,False,False
F002,Carrot,18.67,4.77,4.36,42.91,Kharif,68725.54,1.1997586172352668,8.9958071278826,9.841743119266054,0.000624367593182971,False,False,True,False,False,False,False,True,False,False
F003,Sugarcane,306.03,2.91,0.56,33.44,Kharif,75538.56,0.4829674076295701,11.491408934707902,59.7142857142857,0.00044268781401181063,False,True,False,False,False,False,False,False,False,True
F004,Tomato,380.21,3.32,4.35,34.08,Zaid,45401.23,0.5314094745934187,10.265060240963855,7.83448275862069,0.0007506404562167147,False,False,False,True,False,False,False,False,False,True
F005,Tomato,135.56,8.33,4.48,43.28,Zaid,93718.69,1.2277641871987421,5.195678271308523,9.660714285714285,0.0004618075647450898,False,False,False,False,True,True,False,False,False,False
F006,Sugarcane,12.5,6.42,2.25,38.18,Zaid,46487.98,0.8417414660805738,5.947040498442368,16.968888888888888,0.0008212875672378106,False,False,False,False,True,False,True,False,False,False
F007,Soybean,360.06,1.83,2.37,44.93,Rabi,40583.57,1.3526538910899142,24.551912568306008,18.957805907172993,0.0011070982666138045,True,False,False,False,False,False,False,False,True,False
F008,Rice,464.6,5.18,0.91,4.23,Kharif,9392.38,1.7279588048923311,0.8166023166023167,4.648351648351649,0.0004503650831844539,True,False,False,False,False,False,False,False,False,True
F009,Maize,389.37,0.57,4.93,3.86,Rabi,60202.14,1.755964374855806,6.771929824561404,0.7829614604462475,6.411732207526177e-05,True,False,False,False,False,False,False,True,False,False
F010,Soybean,184.37,2.18,2.67,17.25,Kharif,90922.15,0.7424655050965366,7.912844036697247,6.460674157303371,0.00018972274632749007,True,False,False,False,False,False,False,False,True,False
F011,Rice,279.95,8.02,1.24,32.85,Zaid,5869.75,0.43830987714727243,4.096009975062344,26.491935483870968,0.005596490480855232,True,False,False,False,False,True,False,False,False,False
F012,Sugarcane,145.32,3.01,2.27,8.08,Kharif,88976.51,1.4365494958129295,2.684385382059801,3.5594713656387666,9.08104846998382e-05,False,True,False,False,False,True,False,False,False,False
F013,Wheat,329.1,5.26,0.83,5.44,Zaid,45922.35,1.6363730220388049,1.0342205323193918,6.55421686746988,0.00011846083660788266,True,False,False,False,False,True,False,False,False,False
F014,Rice,246.02,1.01,3.45,11.38,Rabi,71953.14,1.1867700880305851,11.267326732673268,3.298550724637681,0.00015815849037304,False,True,False,False,False,False,False,False,True,False
F015,Sugarcane,305.15,5.39,2.15,28.77,Kharif,33615.77,0.12949170025273765,5.337662337662338,13.38139534883721,0.0008558483116703858,False,False,False,True,False,False,False,True,False,False
